eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-29 12:46:22.829,"{'ops': [{'retain': 388}, {'insert': 'm'}]}",,,389,[],0,,5,30,0.3,1,0,0.0,165,11e8186be4314e93852c7677b430fba3,
text-insert,user,2021-08-16 15:57:51.218,"{'ops': [{'retain': 496}, {'insert': 'r'}]}",,,497,[],0,4.0,5,30,0.3,1,0,0.0,353,2f8c2905bd764dd1a70ed96115e75edb,
text-insert,user,2021-08-27 10:02:23.261,"{'ops': [{'retain': 1804}, {'insert': 'h'}]}",,,1805,[],3,3.0,5,30,0.75,1,0,1.0,1717,bfbd85082e2c48bc86180b2b54f5845c,
text-insert,user,2021-09-01 14:02:47.570,"{'ops': [{'retain': 1329}, {'insert': 'e'}]}",,,1330,[],3,3.0,5,30,0.75,1,0,1.0,1382,17aac7590a114243a031617242747722,
text-insert,user,2021-08-16 09:56:20.648,"{'ops': [{'retain': 532}, {'insert': 'e'}]}",,,533,[],0,2.0,5,30,0.75,1,0,1.0,210,3fa1c25393bc47dfb78329c8ce55857f,
text-insert,user,2021-08-23 14:50:03.875,"{'ops': [{'retain': 1227}, {'insert': 'e'}]}",,,1228,[],0,4.0,5,30,0.75,1,0,1.0,806,173cae0bcc714ba29bfeab4004d7fa85,
text-insert,user,2021-08-25 22:53:03.245,"{'ops': [{'retain': 1682}, {'insert': 'd'}]}",,,1683,[],4,4.0,5,30,0.3,1,0,0.0,1438,f6dc009e6d5c4c03a667ca201438077a,
text-insert,user,2021-08-24 20:57:58.513,"{'ops': [{'retain': 2118}, {'insert': 'z'}]}",,,2119,[],3,3.0,5,30,0.75,1,0,1.0,2015,4db95dde4eec4612b04570858ad628bf,
text-insert,user,2021-08-27 15:50:03.462,"{'ops': [{'retain': 2006}, {'insert': 'n'}]}",,,2007,[],4,4.0,5,30,0.2,1,0,0.5,1539,2465c23b3c7e4d1dac1c5ee02bc878d7,
text-insert,user,2021-08-23 22:00:59.085,"{'ops': [{'retain': 2317}, {'insert': 'o'}]}",,,2318,[],1,1.0,5,30,0.2,1,0,0.5,1646,f6f47e11cd064b9a9e1647878516be9e,
text-insert,user,2021-08-30 18:48:00.781,"{'ops': [{'retain': 1067}, {'insert': 'i'}]}",,,1068,[],3,3.0,5,30,0.3,1,0,0.0,1149,3461ee41df7f4f5fa584f5ae04b3ba6f,
text-insert,user,2021-08-30 16:05:40.839,"{'ops': [{'retain': 1304}, {'insert': 'v'}]}",,,1305,[],0,1.0,5,30,0.3,1,0,0.0,862,a835d25a742840db987cf1fc4f877a98,
text-insert,user,2021-08-27 12:19:39.928,"{'ops': [{'retain': 2425}, {'insert': ' '}]}",,,2426,[],0,2.0,5,30,0.9,1,0,0.5,1955,9d9b9dfaa2b5423398abb53fd06f857d,
text-insert,user,2021-08-16 06:13:46.052,"{'ops': [{'retain': 1797}, {'insert': 'u'}]}",,,1798,[],0,3.0,5,30,0.3,1,0,0.0,1244,9a01bc361d3c4dd09d596c716c16f5a3,
text-insert,user,2021-08-16 06:09:16.497,"{'ops': [{'retain': 783}, {'insert': 'n'}]}",,,784,[],0,0.0,5,30,0.3,1,0,0.0,262,9a01bc361d3c4dd09d596c716c16f5a3,
text-insert,user,2021-09-04 03:04:34.142,"{'ops': [{'retain': 1297}, {'insert': 'd'}]}",,,1298,[],0,0.0,5,30,0.9,1,0,0.5,884,a4fcbdfc711c4a17ad9acebee41ae6a3,
